City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,paphos,34.7667,32.4167,10.88,82,75,2.57,CY,1706813789
167,namibe,-15.1961,12.1522,25.29,78,100,4.75,AO,1706813589
168,hadibu,12.65,54.0333,24.98,74,38,1.69,YE,1706813789
169,zhezqazghan,47.7833,67.7667,-16.26,94,71,4.59,KZ,1706813790
170,st. john's,47.5649,-52.7093,-0.74,78,75,7.2,CA,1706813790
171,chonchi,-42.6128,-73.8092,24.64,49,100,2.74,CL,1706813790
172,hithadhoo,-0.6,73.0833,28.09,74,42,5.37,MV,1706813791
173,wakkanai,45.4094,141.6739,-9.39,81,100,6.26,JP,1706813791
174,punta alta,-38.8759,-62.0736,30.96,51,51,5.41,AR,1706813791
175,sitia,35.2,26.0986,11.66,61,38,11.15,GR,1706813792
176,qamdo,31.1667,97.2333,-10.37,47,80,3.31,CN,1706813792
177,puerto deseado,-47.7503,-65.8938,26.34,30,16,3.73,AR,1706813792
178,pajara,28.3504,-14.1076,19.73,50,46,4.73,ES,1706813792
179,fuerte olimpo,-21.0415,-57.8738,40.65,19,100,1.19,PY,1706813793
180,port lincoln,-34.7333,135.8667,15.68,88,1,3.36,AU,1706813793
181,eirunepe,-6.6603,-69.8736,31.91,56,98,1.64,BR,1706813793
182,bathsheba,13.2167,-59.5167,30.34,70,40,4.63,BB,1706813794
183,vilyuchinsk,52.9306,158.4028,-12.85,95,100,3.14,RU,1706813794
184,stantsiya novyy afon,43.0806,40.8383,6.32,80,81,1.06,GE,1706813794
185,nemuro,43.3236,145.575,-8.43,63,52,8.47,JP,1706813794
186,svetlyy,54.675,20.1347,4.46,75,18,10.49,RU,1706813795
187,taulaga,-11.0553,-171.0883,28.23,80,100,6.49,AS,1706813795
188,kloulklubed,7.0419,134.2556,26.28,74,100,7.21,PW,1706813795
189,khorugh,37.4897,71.553,-14.2,81,100,0.27,TJ,1706813796
190,tartouss,34.889,35.8866,11.32,78,55,1.4,SY,1706813796
191,meadow lake,34.8014,-106.5436,15.32,51,82,3.22,US,1706813796
192,redmond,47.674,-122.1215,12.41,92,100,1.34,US,1706813573
193,tura,25.5198,90.2201,14.5,67,0,1.43,IN,1706813797
194,maxixe,-23.8597,35.3472,25.9,88,20,4.63,MZ,1706813797
195,island harbour,50.724,-1.2758,7.04,84,87,0.45,GB,1706813798
196,bafq,31.6128,55.4107,9.04,38,13,0.21,IR,1706813798
197,las lomitas,-24.7096,-60.593,42.36,15,66,3.12,AR,1706813798
198,iskateley,67.6803,53.1512,-2.77,93,100,7.6,RU,1706813798
199,altoona,40.5187,-78.3947,7.94,68,100,2.24,US,1706813511
200,new norfolk,-42.7826,147.0587,13.72,60,32,6.21,AU,1706813799
201,tumayr,25.7039,45.868,14.58,25,0,5.95,SA,1706813799
202,lethem,3.3803,-59.7968,33.03,52,40,5.14,GY,1706813800
203,aljezur,37.3191,-8.8033,13.54,78,4,0.91,PT,1706813800
204,zeya,53.75,127.2667,-26.95,94,25,1.82,RU,1706813800
205,pandan,14.0453,124.1694,24.43,83,100,4.06,PH,1706813800
206,atafu village,-8.5421,-172.5159,26.38,89,100,6.65,TK,1706813801
207,salinopolis,-0.6136,-47.3561,27.26,87,92,4.85,BR,1706813801
208,prabumulih,-3.45,104.25,23.29,99,100,1.16,ID,1706813801
209,fortuna,40.5982,-124.1573,10.92,94,40,7.2,US,1706813802
210,sao tome,0.3365,6.7273,28.02,78,20,1.54,ST,1706813769
211,general conesa,-40.1,-64.4333,39.31,11,47,4.02,AR,1706813802
212,buchanan,5.8808,-10.0467,27.85,78,100,3.56,LR,1706813803
213,papatowai,-46.5619,169.4708,11.7,93,100,1.77,NZ,1706813803
214,ghanzi,-21.5667,21.7833,26.16,36,52,4.4,BW,1706813803
215,utrik,11.2278,169.8474,25.97,86,82,11.17,MH,1706813804
216,berezovyy,51.6667,135.7,-24.63,87,61,2.03,RU,1706813804
217,korsakov,46.6328,142.7813,-29.09,94,99,1.06,RU,1706813804
218,lata,40.1629,-8.3327,12.08,77,15,1.68,PT,1706813805
219,hailar,49.2,119.7,-37.2,100,44,1.74,CN,1706813805
220,sinabang,2.4803,96.3801,27.3,80,83,1.91,ID,1706813805
221,aykhal,66.0,111.5,-27.21,99,70,2.96,RU,1706813806
222,sisimiut,66.9395,-53.6735,-22.35,99,100,3.15,GL,1706813806
223,hilo,19.7297,-155.09,26.16,70,1,1.34,US,1706813675
224,lebu,-37.6167,-73.65,19.29,73,3,6.45,CL,1706813806
225,roma,43.2128,-75.4557,4.1,85,100,1.54,US,1706813701
226,merizo village,13.2658,144.6691,26.31,89,66,9.42,GU,1706813807
227,bure,10.7,37.0667,15.75,61,10,2.15,ET,1706813807
228,rajpipla,21.8667,73.5,21.24,54,3,1.78,IN,1706813808
229,outjo,-20.1167,16.15,22.64,68,100,3.27,NA,1706813808
230,port mathurin,-19.6833,63.4167,26.05,94,75,13.89,MU,1706813808
231,crane,31.3974,-102.3501,20.24,32,89,3.69,US,1706813808
232,faya-largeau,17.9257,19.1043,16.54,20,0,9.29,TD,1706813809
233,klyuchi,52.2667,79.1667,-7.58,91,100,4.27,RU,1706813809
234,midvagur,62.0511,-7.1939,5.46,100,100,6.17,FO,1706813809
235,mobaye,4.319,21.1786,26.93,31,100,0.11,CF,1706813810
236,kerikeri,-35.2268,173.9474,15.51,92,53,1.62,NZ,1706813810
237,akrehamn,59.2667,5.1833,5.79,87,75,5.14,NO,1706813810
238,tawau,4.2498,117.8871,25.07,94,100,0.89,MY,1706813811
239,villa de soto,-30.8552,-64.9995,35.78,16,0,7.73,AR,1706813811
240,sao felix do xingu,-6.6447,-51.995,27.55,94,100,0.08,BR,1706813653
241,mandalgovi,45.7625,106.2708,-20.34,94,6,3.11,MN,1706813812
242,belel,7.05,14.4333,19.6,23,8,2.59,CM,1706813812
243,beneditinos,-5.45,-42.3667,32.27,51,100,2.07,BR,1706813812
244,tamandare,-8.7597,-35.1047,28.77,70,52,4.81,BR,1706813594
245,tofol,5.3248,163.0078,27.58,82,100,5.86,FM,1706813813
246,smara,26.7384,-11.6719,21.07,15,0,4.99,EH,1706813813
247,klaksvik,62.2266,-6.589,5.51,92,100,8.71,FO,1706813813
248,basoda,23.85,77.9333,17.98,52,2,2.12,IN,1706813814
249,kill devil hills,36.0307,-75.676,12.0,72,0,2.57,US,1706813814
250,quellon,-43.1167,-73.6167,19.13,70,100,3.04,CL,1706813814
251,kourou,5.1552,-52.6478,31.03,60,100,3.57,GF,1706813814
252,deqen,29.9618,90.7188,-5.67,60,96,2.99,CN,1706813815
253,lagoa,39.05,-27.9833,16.09,91,0,4.99,PT,1706813815
